排名,电影名,得分,评分人数,主演和导演,简介
61,饮食男女,9.1,9.1,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,人生不能像做菜，把所有的料都准备好了才下锅。
62,两杆大烟枪,9.1,9.1,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
63,飞越疯人院,9.1,9.1,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,自由万岁。
64,让子弹飞,8.8,8.8,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。
65,本杰明·巴顿奇事,8.9,8.9,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...,在时间之河里感受溺水之苦。
66,绿皮书,8.9,8.9,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen/...,去除成见，需要勇气。
67,看不见的客人,8.8,8.8,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...,你以为你以为的就是你以为的。
68,西西里的美丽传说,8.9,8.9,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,美丽无罪。
69,拯救大兵瑞恩,9.0,9.0,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,美利坚精神输出大片No1.
70,海蒂和爷爷,9.2,9.2,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
71,小鞋子,9.2,9.2,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...,奔跑的孩子是天使。
72,穿条纹睡衣的男孩,9.1,9.1,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
73,情书,8.9,8.9,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...,暗恋的极致。
74,海豚湾,9.3,9.3,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry/路易·西霍...,海豚的微笑，是世界上最高明的伪装。
75,音乐之声,9.0,9.0,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...,用音乐化解仇恨，让歌声串起美好。
76,美国往事,9.2,9.2,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...,往事如烟，无处祭奠。
77,致命魔术,8.9,8.9,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,孪生蝙蝠侠大战克隆金刚狼。
78,低俗小说,8.9,8.9,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,故事的高级讲法。
79,沉默的羔羊,8.8,8.8,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...,安东尼·霍普金斯的顶级表演。
80,七宗罪,8.8,8.8,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...,警察抓小偷，老鼠玩死猫。
81,蝴蝶效应,8.8,8.8,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...,人的命运被自己瞬间的抉择改变。
82,禁闭岛,8.8,8.8,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,昔日翩翩少年，今日大腹便便。
83,心灵捕手,8.9,8.9,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...,人生中应该拥有这样的一段豁然开朗。
